TIC,Tmag,KIC,numax
383724006,9.6089,7866696,29.75
351763168,11.6553,7728958,95.61
351685591,11.105,8004637,87.12
351685541,11.3791,8004686,23.01
351682458,11.8654,10382554,67.03
351762983,12.1616,7867281,83.91
351763092,11.0649,7797928,83.04
351763290,11.9038,7581214,74.96
351769602,11.0838,10382615,31.67
351766427,11.2101,7935931,30.84
351766573,12.0788,8004863,96.41
351766465,10.8788,7936033,14.29
351769634,12.2504,10382727,198.2
351766202,11.5788,7798102,44.55
351765993,10.8744,7581399,84.85
351769771,10.1315,10513061,40.79
351769691,11.2419,10447681,8.96
351770222,12.2819,10382835,25.98
351800262,11.9504,7729364,55.53
351800261,8.0587,7729396,9.22
351799803,12.1557,8073887,191.71
351799924,10.9277,8005116,38.16
351800553,11.9518,7499531,69.98
351799968,11.5271,7936353,44.01
123126051,9.5372,7936407,88.11
123126389,11.4377,8142366,31.38
123125532,11.1271,7499677,28.17
123126168,11.2357,8005225,122.7
123125633,11.3696,7581822,160.34
123125874,11.7524,7798570,81.3
123125372,10.8127,7335125,27.36
123126327,12.2989,8142438,97.29
123125976,11.2699,7867854,32.08
123129558,11.3989,10448025,125.95
123126479,7.5208,8210100,41.65
123125566,11.9469,7499808,29.56
123125482,12.0254,7416430,44.05
123125401,12.3349,7416433,21.23
123198080,10.5817,8276880,65.76
123130062,10.0544,10383368,57.3
123198377,11.9578,8074322,29.48
123198367,11.5784,8074326,34.73
123130298,10.857,10252281,32.98
123198181,12.1072,8210306,72.22
123129786,11.8417,10643913,41.13
123130121,10.8185,10383488,13.9
123198251,11.1017,8142716,30.7
123130443,10.9772,10118422,45.45
123130535,10.695,10053224,28.85
47879745,12.2692,10644029,29.14
123202761,12.0157,8277043,81.96
123202448,11.9775,8005676,46.79
123205583,10.2319,10186053,31.69
123202472,11.9294,8074520,30.86
123201676,9.2625,7500267,36.1
123205647,9.6148,10186075,25.31
123202457,11.8034,8005721,131.08
123205883,10.1591,10383668,52.96
123206004,8.615,10513837,194.4
123201134,12.2633,7006903,45.65
123205816,11.4837,10318430,154.84
123205389,12.0997,10053392,75.34
123206044,11.9605,10513892,36.53
123201719,11.1032,7500388,40.67
123201494,11.8569,7335713,159.19
123205447,11.319,10053414,41.26
123201137,9.1379,7006979,34.73
123201405,8.7775,7255270,48.45
123202633,11.7334,8142943,44.53
123201382,11.6131,7255313,75.06
123202058,12.13,7730215,110.53
123205547,11.4292,10118658,50.25
123202406,7.5889,8005874,10.85
123206612,12.2151,10318539,73.4
123230089,8.5007,8210688,7.08
123206645,10.1435,10252692,29.77
123231395,11.62,7335868,85.95
47937429,11.7442,10709049,59.18
123231683,11.4404,7090906,24.5
123229848,11.0655,8408920,6.96
123231788,10.6769,7007173,42.42
123206660,11.5784,10252757,53.2
123230238,9.8995,8143094,33.55
123229967,11.8755,8277362,29.56
123229878,10.9585,8343654,30.77
123230686,11.1671,7868532,74.67
123230166,11.8152,8143132,29.13
123206403,8.445,10448807,46.46
123230402,10.3802,8006058,37.48
123230451,10.4516,8006060,48.83
123206573,11.808,10318734,106.74
123230794,11.5136,7799423,55.34
123227496,10.5686,9932339,58.25
123230368,11.873,8074901,44.65
123227235,8.3965,10118929,42.01
123231617,11.3278,7173776,32.85
123233443,12.1262,7255651,22.87
123309360,12.2784,10186510,28.89
123233415,11.8408,7255674,53.83
123309265,11.1121,10118979,29.62
123233136,7.0826,7007370,34.96
47937758,11.9194,10775621,97.36
